candidate_count,scenario,p_safe,replicates,reserve_probability,reserve_ci95_low,reserve_ci95_high,selected_gate_probability_given_reserve,unconditional_selected_qualification_probability,unconditional_selected_ci95_low,unconditional_selected_ci95_high,candidate_and_selected_joint_probability,candidate_gate_and_reserve_probability,inference_aligned_selected_probability_given_reserve,unconditional_inference_aligned_qualification_probability,candidate_and_inference_aligned_joint_probability,selected_pass_given_full_candidate_failure,selected_pass_given_candidate_condition_failure,selected_rank_pass_given_reserve,selected_effective_rank_pass_given_reserve,selected_condition_pass_given_reserve,selected_pair_cosine_pass_given_reserve,selected_cross_block_spread_pass_given_reserve
16,MODERATE_AXIS4,0.775,20000,0.95325,0.9502362627410397,0.9560896565741015,0.7214266981379491,0.6877,0.6812417561980634,0.694086153466475,0.16635,0.19975,0.9757671125098347,0.93015,0.19945,0.6919044459190444,0.6919299177063977,1.0,0.9760293731969578,0.7289273537896669,0.999737739312877,1.0
16,MODERATE_AXIS4,0.8,20000,0.97405,0.9717539017232905,0.9761640288919166,0.7192649247985217,0.7006,0.6942145966029741,0.7069083585313166,0.1699,0.2037,0.975360607771675,0.95005,0.2033,0.6889076393846952,0.6889970788704965,1.0,0.975514603973102,0.7268620707355885,0.9998460037985729,1.0
16,MODERATE_AXIS4,0.85,20000,0.99455,0.9934303763700838,0.9954796807668231,0.7221859132270876,0.71825,0.711974028043761,0.7244421482177494,0.17345,0.20805,0.9754160172942536,0.9701,0.2075,0.6926891290527654,0.6927772126144456,1.0,0.9755165652807802,0.7294253682570007,0.9998994520134734,1.0
16,MODERATE_AXIS4,0.9,20000,0.9995,0.9990797771249671,0.9997283788549844,0.724512256128064,0.72415,0.717913219848162,0.7303006903878863,0.17445,0.20925,0.9765382691345673,0.97605,0.209,0.6956026573869029,0.6956274125166108,1.0,0.9766383191595798,0.7317658829414707,0.9998999499749875,1.0
16,ADVERSARIAL_AXIS4_TOP10,NA,20000,1.0,1.0,1.0,0.71175,0.71175,0.7054323830538799,0.7179862896763597,0.1747,0.20935,0.9715,0.9715,0.2088,0.6792512489723646,0.6792106761115679,1.0,0.97175,0.71925,0.99965,1.0
19,INDEPENDENT,0.6,20000,0.8106,0.805110215464465,0.8159704917374827,0.7257586972612879,0.5883,0.5814630712549261,0.5951030151775659,0.302,0.38145,0.9745250431778929,0.78995,0.37915,0.6671327041826867,0.6671716583148817,1.0,0.9745867258820626,0.7330372563533185,0.9999383172958303,1.0
19,INDEPENDENT,0.65,20000,0.91065,0.906617466724761,0.9145248140623602,0.7243177949816065,0.6596,0.6530028923165945,0.6661358097742969,0.34155,0.43075,0.9747982210508978,0.8877,0.42775,0.662742237966243,0.6627761567319717,1.0,0.9748531268873881,0.7316202712348323,0.9998901883270191,1.0
19,INDEPENDENT,0.7,20000,0.96605,0.9634492682674457,0.9684717349246591,0.7234615185549402,0.6989,0.692504658897545,0.7052189491593366,0.36125,0.4566,0.9735003364215102,0.94045,0.45285,0.6627735793502797,0.6628055364680475,1.0,0.9735520935769371,0.7308627917809637,0.9998964856891466,1.0
19,INDEPENDENT,0.75,20000,0.99055,0.9891117484659134,0.9917998449594424,0.7248498309020242,0.718,0.7117223968027993,0.724193875476739,0.3688,0.46665,0.9725405077986977,0.96335,0.4628,0.6665394159190685,0.6665712103856434,1.0,0.9725909848064207,0.7328756751299783,0.999949522992277,1.0
19,INDEPENDENT,0.775,20000,0.9955,0.9944724686459953,0.9963372236224052,0.7245605223505776,0.7213,0.7150441212325819,0.7274708836089864,0.37085,0.4697,0.9717227523857358,0.96735,0.4657,0.6665081780144542,0.666539851626403,1.0,0.9717729784028126,0.7322953289804118,0.9999497739829232,1.0
