n,rollouts,random_controls,transfer_fraction,replicates,true_c,true_delta_c,expected_c_ci_width,expected_delta_c_ci_width,power_c_lower_gt_zero,power_delta_c_lower_gt_zero,probability_c_above_every_random,split_half_sign_consistency,joint_frozen_rule_probability
150,2,8,0.5,100000,0.03499960839599004,0.019355028195488726,0.05079075447308398,0.04225723179901783,0.76985,0.43087,0.47792,0.92261,0.272
150,2,8,0.75,100000,0.0446771224937344,0.02903254229323309,0.05079075447308398,0.04225723179901783,0.9323,0.76799,0.71762,0.99232,0.6094
150,2,8,1.0,100000,0.05435463659147877,0.03871005639097745,0.05079075447308398,0.04225723179901783,0.98722,0.94803,0.88146,0.99967,0.85294
150,4,4,0.0,100000,0.015644580200501315,0.0,0.04994921988168692,0.04155708621810502,0.23246,0.02458,0.18385,0.19612,0.00256
150,4,4,0.5,100000,0.03499960839599004,0.019355028195488726,0.04994921988168692,0.04155708621810502,0.78576,0.44567,0.62667,0.92275,0.32628
150,4,4,0.75,100000,0.0446771224937344,0.02903254229323309,0.04994921988168692,0.04155708621810502,0.93913,0.78347,0.81961,0.99234,0.68095
150,4,4,1.0,100000,0.05435463659147877,0.03871005639097745,0.04994921988168692,0.04155708621810502,0.98945,0.95515,0.93236,0.99961,0.89999
150,4,8,0.0,100000,0.015644580200501315,0.0,0.04994921988168692,0.04155708621810502,0.23294,0.02445,0.09594,0.19471,0.00246
150,4,8,0.5,100000,0.03499960839599004,0.019355028195488726,0.04994921988168692,0.04155708621810502,0.78343,0.44769,0.48798,0.92297,0.28412
150,4,8,0.75,100000,0.0446771224937344,0.02903254229323309,0.04994921988168692,0.04155708621810502,0.93945,0.78079,0.72587,0.99254,0.62309
150,4,8,1.0,100000,0.05435463659147877,0.03871005639097745,0.04994921988168692,0.04155708621810502,0.98918,0.95466,0.88768,0.99967,0.86212
200,2,4,0.0,100000,0.015644580200501315,0.0,0.04398608365106884,0.03659583623155704,0.28608,0.02556,0.18099,0.20939,0.0032
200,2,4,0.5,100000,0.03499960839599004,0.019355028195488726,0.04398608365106884,0.03659583623155704,0.8773,0.54518,0.67567,0.96036,0.42507
200,2,4,0.75,100000,0.0446771224937344,0.02903254229323309,0.04398608365106884,0.03659583623155704,0.97834,0.87446,0.86584,0.99807,0.78465
200,2,4,1.0,100000,0.05435463659147877,0.03871005639097745,0.04398608365106884,0.03659583623155704,0.99792,0.98509,0.96262,0.99996,0.95154
200,2,8,0.0,100000,0.015644580200501315,0.0,0.04398608365106884,0.03659583623155704,0.28705,0.02508,0.09104,0.20827,0.00246
200,2,8,0.5,100000,0.03499960839599004,0.019355028195488726,0.04398608365106884,0.03659583623155704,0.87521,0.54567,0.54544,0.95977,0.37133
200,2,8,0.75,100000,0.0446771224937344,0.02903254229323309,0.04398608365106884,0.03659583623155704,0.97846,0.87417,0.79206,0.99793,0.73029
200,2,8,1.0,100000,0.05435463659147877,0.03871005639097745,0.04398608365106884,0.03659583623155704,0.99806,0.98605,0.93394,0.99996,0.92565
200,4,4,0.0,100000,0.015644580200501315,0.0,0.04325729331675563,0.03598949237213914,0.29581,0.02546,0.18132,0.21179,0.00352
200,4,4,0.5,100000,0.03499960839599004,0.019355028195488726,0.04325729331675563,0.03598949237213914,0.88591,0.5553,0.68074,0.96057,0.43437
200,4,4,0.75,100000,0.0446771224937344,0.02903254229323309,0.04325729331675563,0.03598949237213914,0.98209,0.8873,0.87543,0.99803,0.80068
200,4,4,1.0,100000,0.05435463659147877,0.03871005639097745,0.04325729331675563,0.03598949237213914,0.99852,0.98757,0.96475,0.99999,0.95541
200,4,8,0.0,100000,0.015644580200501315,0.0,0.04325729331675563,0.03598949237213914,0.29499,0.02392,0.08973,0.21112,0.0022
200,4,8,0.5,100000,0.03499960839599004,0.019355028195488726,0.04325729331675563,0.03598949237213914,0.88806,0.55846,0.55305,0.9599,0.3815
200,4,8,0.75,100000,0.0446771224937344,0.02903254229323309,0.04325729331675563,0.03598949237213914,0.98153,0.88603,0.80036,0.99815,0.74463
200,4,8,1.0,100000,0.05435463659147877,0.03871005639097745,0.04325729331675563,0.03598949237213914,0.99851,0.98756,0.93937,0.99995,0.93231
