metric,primary,audit,absolute_difference
D.7.12,0.025,0.025,0.0
D.7.13,0.025,0.025,0.0
D.7.14,0.058333333333333334,0.058333333333333334,0.0
D.7.15,0.016666666666666666,0.016666666666666666,0.0
D.7.16,0.025,0.025,0.0
D.7.17,0.025,0.025,0.0
D.7.18,0.03333333333333333,0.03333333333333333,0.0
D.7.19,0.0,0.0,0.0
D.7.2,0.025,0.025,0.0
D.7.20,0.03333333333333333,0.03333333333333333,0.0
D.7.21,0.03333333333333333,0.03333333333333333,0.0
D.7.22,0.025,0.025,0.0
D.7.23,0.016666666666666666,0.016666666666666666,0.0
D.7.3,0.016666666666666666,0.016666666666666666,0.0
D.7.4,0.016666666666666666,0.016666666666666666,0.0
D.7.5,0.025,0.025,0.0
D.7.6,0.06666666666666667,0.06666666666666667,0.0
D.7.7,0.0,0.0,0.0
D.7.8,0.025,0.025,0.0
D.7.9,0.016666666666666666,0.016666666666666666,0.0
D.8.0,0.016666666666666666,0.016666666666666666,0.0
D.8.1,0.008333333333333333,0.008333333333333333,0.0
D.8.10,0.008333333333333333,0.008333333333333333,0.0
D.8.11,0.025,0.025,0.0
D.8.12,-0.008333333333333333,-0.008333333333333333,0.0
D.8.13,-0.008333333333333333,-0.008333333333333333,0.0
D.8.14,0.016666666666666666,0.016666666666666666,0.0
D.8.15,0.03333333333333333,0.03333333333333333,0.0
D.8.16,0.008333333333333333,0.008333333333333333,0.0
D.8.17,0.016666666666666666,0.016666666666666666,0.0
D.8.18,-0.008333333333333333,-0.008333333333333333,0.0
D.8.19,0.008333333333333333,0.008333333333333333,0.0
D.8.2,0.016666666666666666,0.016666666666666666,0.0
D.8.20,0.016666666666666666,0.016666666666666666,0.0
D.8.21,0.03333333333333333,0.03333333333333333,0.0
D.8.22,-0.008333333333333333,-0.008333333333333333,0.0
D.8.23,0.025,0.025,0.0
D.8.3,0.008333333333333333,0.008333333333333333,0.0
D.8.4,0.008333333333333333,0.008333333333333333,0.0
D.8.5,0.008333333333333333,0.008333333333333333,0.0
D.8.6,0.016666666666666666,0.016666666666666666,0.0
D.8.7,0.025,0.025,0.0
D.8.8,0.0,0.0,0.0
D.8.9,-0.025,-0.025,0.0
D.9.0,-0.016666666666666666,-0.016666666666666666,0.0
D.9.1,-0.025,-0.025,0.0
D.9.10,-0.008333333333333333,-0.008333333333333333,0.0
D.9.11,0.016666666666666666,0.016666666666666666,0.0
D.9.12,-0.025,-0.025,0.0
D.9.13,0.0,0.0,0.0
D.9.14,-0.008333333333333333,-0.008333333333333333,0.0
D.9.15,0.008333333333333333,0.008333333333333333,0.0
