design,independent_units,raw_rows,rollouts,random_controls,transfer_fraction,within_family_rho,se_multiplier,effective_units,replicates,true_c,true_delta_c,expected_c_ci_width,expected_delta_c_ci_width,power_c_lower_gt_zero,power_delta_c_lower_gt_zero,probability_c_above_every_random,split_half_sign_consistency,joint_frozen_rule_probability,joint_probability_monte_carlo_se
B_EQUAL_FAMILY_ALL_ROWS,120,286,4,8,1.0,0.5,0.847381587925744,167.11798839458416,100000,0.05435463659147877,0.03871005639097745,0.047321961681059836,0.03937124235869546,0.99445,0.97066,0.91191,0.99983,0.89487,0.0009699365087468353
B_EQUAL_FAMILY_ALL_ROWS,120,286,4,8,0.0,0.75,0.9268375142266189,139.69280517380759,100000,0.015644580200501315,0.0,0.05175917196898576,0.0430629422679228,0.21912,0.02463,0.09616,0.19257,0.00221,0.00014849632655389156
B_EQUAL_FAMILY_ALL_ROWS,120,286,4,8,0.5,0.75,0.9268375142266189,139.69280517380759,100000,0.03499960839599004,0.019355028195488726,0.05175917196898576,0.0430629422679228,0.75228,0.41975,0.47076,0.90939,0.26031,0.0013876191981231738
B_EQUAL_FAMILY_ALL_ROWS,120,286,4,8,0.75,0.75,0.9268375142266189,139.69280517380759,100000,0.0446771224937344,0.02903254229323309,0.05175917196898576,0.0430629422679228,0.92371,0.75249,0.70516,0.98912,0.58884,0.001555980251802702
B_EQUAL_FAMILY_ALL_ROWS,120,286,4,8,1.0,0.75,0.9268375142266189,139.69280517380759,100000,0.05435463659147877,0.03871005639097745,0.05175917196898576,0.0430629422679228,0.9851,0.94073,0.87305,0.99955,0.84077,0.0011570471343035251
B_EQUAL_FAMILY_ALL_ROWS,120,286,4,8,0.0,1.0,1.0,120.0,100000,0.015644580200501315,0.0,0.05584492553926798,0.04646223486525124,0.19327,0.02465,0.09538,0.18475,0.00228,0.00015082445425062873
B_EQUAL_FAMILY_ALL_ROWS,120,286,4,8,0.5,1.0,1.0,120.0,100000,0.03499960839599004,0.019355028195488726,0.05584492553926798,0.04646223486525124,0.69072,0.37255,0.44413,0.88239,0.22017,0.0013103250402094894
B_EQUAL_FAMILY_ALL_ROWS,120,286,4,8,0.75,1.0,1.0,120.0,100000,0.0446771224937344,0.02903254229323309,0.05584492553926798,0.04646223486525124,0.87825,0.68621,0.66412,0.98219,0.51976,0.0015799036122498107
B_EQUAL_FAMILY_ALL_ROWS,120,286,4,8,1.0,1.0,1.0,120.0,100000,0.05435463659147877,0.03871005639097745,0.05584492553926798,0.04646223486525124,0.9687,0.90285,0.83572,0.99855,0.78296,0.0013035859710813092
C_ONE_ROW_PER_FAMILY,130,130,4,8,0.0,,1.0,130.0,100000,0.015644580200501315,0.0,0.053654068955913244,0.04463947134378619,0.20854,0.02591,0.09689,0.1878,0.00219,0.0001478243518504309
C_ONE_ROW_PER_FAMILY,130,130,4,8,0.5,,1.0,130.0,100000,0.03499960839599004,0.019355028195488726,0.053654068955913244,0.04463947134378619,0.72613,0.39706,0.46004,0.89773,0.24183,0.0013540614871563256
C_ONE_ROW_PER_FAMILY,130,130,4,8,0.75,,1.0,130.0,100000,0.0446771224937344,0.02903254229323309,0.053654068955913244,0.04463947134378619,0.90365,0.72155,0.68534,0.98648,0.55722,0.0015707510038195107
C_ONE_ROW_PER_FAMILY,130,130,4,8,1.0,,1.0,130.0,100000,0.05435463659147877,0.03871005639097745,0.053654068955913244,0.04463947134378619,0.97819,0.92388,0.85656,0.99918,0.81514,0.0012275454386701946
B_EQUAL_FAMILY_ALL_ROWS,130,310,4,8,0.0,0.0,0.6602252917735247,298.2352941176471,100000,0.015644580200501315,0.0,0.03542377333125464,0.02947210799256713,0.40889,0.02465,0.08146,0.22937,0.0026,0.00016103539983494311
B_EQUAL_FAMILY_ALL_ROWS,130,310,4,8,0.5,0.0,0.6602252917735247,298.2352941176471,100000,0.03499960839599004,0.019355028195488726,0.03542377333125464,0.02947210799256713,0.97188,0.73071,0.64578,0.98899,0.5368,0.0015768505319148037
B_EQUAL_FAMILY_ALL_ROWS,130,310,4,8,0.75,0.0,0.6602252917735247,298.2352941176471,100000,0.0446771224937344,0.02903254229323309,0.03542377333125464,0.02947210799256713,0.99843,0.97167,0.88965,0.99987,0.87481,0.001046505919237918
B_EQUAL_FAMILY_ALL_ROWS,130,310,4,8,1.0,0.0,0.6602252917735247,298.2352941176471,100000,0.05435463659147877,0.03871005639097745,0.03542377333125464,0.02947210799256713,0.99997,0.99927,0.98029,1.0,0.97983,0.00044455788262047523
B_EQUAL_FAMILY_ALL_ROWS,130,310,4,8,0.0,0.25,0.7595545253127499,225.33333333333334,100000,0.015644580200501315,0.0,0.04075319087690624,0.03390611246674163,0.32374,0.0255,0.08787,0.21603,0.00258,0.00016041644554097312
B_EQUAL_FAMILY_ALL_ROWS,130,310,4,8,0.5,0.25,0.7595545253127499,225.33333333333334,100000,0.03499960839599004,0.019355028195488726,0.04075319087690624,0.03390611246674163,0.91916,0.60815,0.57545,0.97042,0.42271,0.00156213397600846
B_EQUAL_FAMILY_ALL_ROWS,130,310,4,8,0.75,0.25,0.7595545253127499,225.33333333333334,100000,0.0446771224937344,0.02903254229323309,0.04075319087690624,0.03390611246674163,0.99065,0.92003,0.83016,0.9991,0.78968,0.0012887416249970354
