scenario,seed_regime,discordance,gain,N,R,t_power,signflip_power,t_ci_coverage,mean_half_width,mean_estimate,degenerate_fraction,utility_trajectories_max,full_bank_trajectories,expected_generated_tokens_utility,expected_storage_bytes_utility,observed_rate_hours_utility,frozen_p50_hours_utility,frozen_p80_hours_utility,frozen_p95_hours_utility,realized_mean,realized_sd,nonzero_fraction
REGULAR,INDEPENDENT,0.2,0.02,800,1,0.3462,0.3462,0.9508,0.03102371820684738,0.019864125,0.0,1600,6400,31802.499999999996,10664000.833333334,0.7852845808472452,0.8133333333333334,0.9208333333333333,1.0375,0.020000000000000004,0.447532121752171,0.200685
REGULAR,INDEPENDENT,0.2,0.02,1000,1,0.4016,0.4016,0.9511,0.02776337131281825,0.0199808,0.0,2000,8000,39753.125,13330001.041666666,0.9816057260590565,1.0166666666666666,1.1510416666666667,1.296875,0.020000000000000004,0.447532121752171,0.200685
REGULAR,INDEPENDENT,0.2,0.02,1200,1,0.4564,0.4573,0.9464,0.02532388532562927,0.019917333333333335,0.0,2400,9600,47703.75,15996001.25,1.177926871270868,1.22,1.38125,1.55625,0.020000000000000004,0.447532121752171,0.200685
REGULAR,INDEPENDENT,0.2,0.02,23,2,0.0877,0.0877,0.9508,0.13468363368615455,0.02015,0.0001,92,368,1828.64375,613180.0479166666,0.045153863398716604,0.046766666666666665,0.05294791666666667,0.059656249999999994,0.02,0.31662477793122884,0.340715
REGULAR,INDEPENDENT,0.2,0.02,100,2,0.1585,0.1585,0.9508,0.06255922071863072,0.0205685,0.0,400,1600,7950.624999999999,2666000.2083333335,0.1963211452118113,0.20333333333333334,0.23020833333333332,0.259375,0.02,0.31662477793122884,0.340715
REGULAR,INDEPENDENT,0.2,0.02,250,2,0.2596,0.2596,0.948,0.0393370625228921,0.0202102,0.0,1000,4000,19876.5625,6665000.520833333,0.49080286302952825,0.5083333333333333,0.5755208333333334,0.6484375,0.02,0.31662477793122884,0.340715
REGULAR,INDEPENDENT,0.2,0.02,400,2,0.3412,0.3412,0.9511,0.031106093698249525,0.019726,0.0,1600,6400,31802.499999999996,10664000.833333334,0.7852845808472452,0.8133333333333334,0.9208333333333333,1.0375,0.02,0.31662477793122884,0.340715
REGULAR,INDEPENDENT,0.2,0.02,500,2,0.4073,0.4074,0.9497,0.027818115075221306,0.0199522,0.0,2000,8000,39753.125,13330001.041666666,0.9816057260590565,1.0166666666666666,1.1510416666666667,1.296875,0.02,0.31662477793122884,0.340715
REGULAR,INDEPENDENT,0.2,0.02,800,2,0.5521,0.5521,0.9467,0.021953327333788856,0.0199078125,0.0,3200,12800,63604.99999999999,21328001.666666668,1.5705691616944903,1.6266666666666667,1.8416666666666666,2.075,0.02,0.31662477793122884,0.340715
REGULAR,INDEPENDENT,0.2,0.02,1000,2,0.645,0.645,0.948,0.019641994623542342,0.0200516,0.0,4000,16000,79506.25,26660002.083333332,1.963211452118113,2.033333333333333,2.3020833333333335,2.59375,0.02,0.31662477793122884,0.340715
REGULAR,INDEPENDENT,0.2,0.02,1200,2,0.7037,0.7037,0.9508,0.017930053940683064,0.02006133333333333,0.0,4800,19200,95407.5,31992002.5,2.355853742541736,2.44,2.7625,3.1125,0.02,0.31662477793122884,0.340715
REGULAR,INDEPENDENT,0.2,0.02,23,4,0.114,0.114,0.9438,0.09494300650121118,0.020011956521739132,0.0,184,736,3657.2875,1226360.0958333332,0.09030772679743321,0.09353333333333333,0.10589583333333334,0.11931249999999999,0.02,0.22318014024549765,0.512925
REGULAR,INDEPENDENT,0.2,0.02,100,4,0.2218,0.2218,0.9518,0.04416452272090875,0.019752250000000002,0.0,800,3200,15901.249999999998,5332000.416666667,0.3926422904236226,0.4066666666666667,0.46041666666666664,0.51875,0.02,0.22318014024549765,0.512925
REGULAR,INDEPENDENT,0.2,0.02,250,4,0.4057,0.4061,0.9521,0.027777142774077005,0.0199008,0.0,2000,8000,39753.125,13330001.041666666,0.9816057260590565,1.0166666666666666,1.1510416666666667,1.296875,0.02,0.22318014024549765,0.512925
REGULAR,INDEPENDENT,0.2,0.02,400,4,0.5597,0.5597,0.9513,0.021919609739646857,0.020036625,0.0,3200,12800,63604.99999999999,21328001.666666668,1.5705691616944903,1.6266666666666667,1.8416666666666666,2.075,0.02,0.22318014024549765,0.512925
