scenario,seed_regime,discordance,N,R,t_fpr,t_fpr_wilson_low,t_fpr_wilson_high,signflip_fpr,signflip_fpr_wilson_low,signflip_fpr_wilson_high,t_ci_coverage,half_width,degenerate_fraction,realized_mean,realized_sd,nonzero_fraction
REGULAR,INDEPENDENT,0.1,800,8,0.05255,0.049542615997906596,0.05572923706870143,0.05255,0.049542615997906596,0.05572923706870143,0.94725,0.007751469967474796,0.0,-1.1655173354219173e-18,0.11174433710483946,0.49244999999999994
REGULAR,INDEPENDENT,0.1,1000,8,0.05085,0.047890613311229645,0.053981892677969136,0.051,0.048036340963523244,0.054136107414858706,0.94875,0.00693125908245308,0.0,-1.1655173354219173e-18,0.11174433710483946,0.49244999999999994
REGULAR,INDEPENDENT,0.1,1200,8,0.04915,0.04623955387405831,0.05223360503773123,0.0492,0.04628810055440988,0.052285039153774054,0.9484,0.006327275136141591,0.0,-1.1655173354219173e-18,0.11174433710483946,0.49244999999999994
REGULAR,PAIRED_COMMON_UNIFORM,0.1,23,1,0.0,0.0,0.0001920360561046254,0.0,0.0,0.0001920360561046254,1.0,0.0,1.0,0.0,0.0,0.0
REGULAR,PAIRED_COMMON_UNIFORM,0.1,100,1,0.0,0.0,0.0001920360561046254,0.0,0.0,0.0001920360561046254,1.0,0.0,1.0,0.0,0.0,0.0
REGULAR,PAIRED_COMMON_UNIFORM,0.1,250,1,0.0,0.0,0.0001920360561046254,0.0,0.0,0.0001920360561046254,1.0,0.0,1.0,0.0,0.0,0.0
REGULAR,PAIRED_COMMON_UNIFORM,0.1,400,1,0.0,0.0,0.0001920360561046254,0.0,0.0,0.0001920360561046254,1.0,0.0,1.0,0.0,0.0,0.0
REGULAR,PAIRED_COMMON_UNIFORM,0.1,500,1,0.0,0.0,0.0001920360561046254,0.0,0.0,0.0001920360561046254,1.0,0.0,1.0,0.0,0.0,0.0
REGULAR,PAIRED_COMMON_UNIFORM,0.1,800,1,0.0,0.0,0.0001920360561046254,0.0,0.0,0.0001920360561046254,1.0,0.0,1.0,0.0,0.0,0.0
REGULAR,PAIRED_COMMON_UNIFORM,0.1,1000,1,0.0,0.0,0.0001920360561046254,0.0,0.0,0.0001920360561046254,1.0,0.0,1.0,0.0,0.0,0.0
REGULAR,PAIRED_COMMON_UNIFORM,0.1,1200,1,0.0,0.0,0.0001920360561046254,0.0,0.0,0.0001920360561046254,1.0,0.0,1.0,0.0,0.0,0.0
REGULAR,PAIRED_COMMON_UNIFORM,0.1,23,2,0.0,0.0,0.0001920360561046254,0.0,0.0,0.0001920360561046254,1.0,0.0,1.0,0.0,0.0,0.0
REGULAR,PAIRED_COMMON_UNIFORM,0.1,100,2,0.0,0.0,0.0001920360561046254,0.0,0.0,0.0001920360561046254,1.0,0.0,1.0,0.0,0.0,0.0
REGULAR,PAIRED_COMMON_UNIFORM,0.1,250,2,0.0,0.0,0.0001920360561046254,0.0,0.0,0.0001920360561046254,1.0,0.0,1.0,0.0,0.0,0.0
REGULAR,PAIRED_COMMON_UNIFORM,0.1,400,2,0.0,0.0,0.0001920360561046254,0.0,0.0,0.0001920360561046254,1.0,0.0,1.0,0.0,0.0,0.0
REGULAR,PAIRED_COMMON_UNIFORM,0.1,500,2,0.0,0.0,0.0001920360561046254,0.0,0.0,0.0001920360561046254,1.0,0.0,1.0,0.0,0.0,0.0
REGULAR,PAIRED_COMMON_UNIFORM,0.1,800,2,0.0,0.0,0.0001920360561046254,0.0,0.0,0.0001920360561046254,1.0,0.0,1.0,0.0,0.0,0.0
REGULAR,PAIRED_COMMON_UNIFORM,0.1,1000,2,0.0,0.0,0.0001920360561046254,0.0,0.0,0.0001920360561046254,1.0,0.0,1.0,0.0,0.0,0.0
