K,candidate_count,bank_index,effect,target_rho,achieved_latent_rho,replicates,mean_true_rho,mean_observed_rho,sampling_q025,sampling_q975,sampling_95_width,permutation_power_or_fpr,permutation_mc_se,all_lofo_positive_rate,mean_lofo_min
16,34,2,NULL,0.0,-0.003767669555947612,75,-0.005803664607390188,-0.004466060752678473,-0.04955743841822848,0.03467382516625694,0.08423126358448542,0.0,0.0,0.22666666666666666,-0.02147832232872575
16,34,2,QUARTER_PRIOR_A0,0.14095458710082515,0.14104932626059388,75,0.137293163346321,0.0847065856065302,0.029888593904853128,0.14131786836364324,0.11142927445879011,0.7333333333333333,0.05106277908033804,1.0,0.07020222469814856
16,34,2,RHO_0_15,0.15,0.14982731186729373,75,0.14524458644994767,0.09132993478889709,0.017440189097323422,0.13725884604588864,0.11981865694856522,0.56,0.0573178273605458,0.9733333333333334,0.07202125657063206
16,34,2,HALF_PRIOR_A0,0.2819091742016503,0.2764508851741928,75,0.26752047246004546,0.17177203892400195,0.10983551405363375,0.23371986685141657,0.12388435279778283,1.0,0.0,1.0,0.15165294879586794
16,34,3,NULL,0.0,0.003942324523878364,75,0.002930570716577078,-0.000794772327127722,-0.0645277750966492,0.05156312756082752,0.11609090265747671,0.0,0.0,0.26666666666666666,-0.020316822770288897
16,34,3,QUARTER_PRIOR_A0,0.14095458710082515,0.13784889198337633,75,0.13694575796256855,0.08936610338886933,0.040677696369800495,0.14307352117894045,0.10239582480913996,0.64,0.055425625842204077,1.0,0.0711482021456315
16,34,3,RHO_0_15,0.15,0.15281778648430172,75,0.14847325071314169,0.09099007261013747,0.023174589637535215,0.15048215252864983,0.1273075628911146,0.8933333333333333,0.03564433361024608,0.9466666666666667,0.07112035026605676
16,34,3,HALF_PRIOR_A0,0.2819091742016503,0.2777520450169247,75,0.27038697745285667,0.1671717638768875,0.10866567372463688,0.21993684205389652,0.11127116832925964,1.0,0.0,1.0,0.14293368906787512
16,34,4,NULL,0.0,0.002042951747631439,75,-0.0007680222750645283,-0.003425687198098264,-0.04571825093684559,0.05027585423303259,0.09599410516987818,0.0,0.0,0.17333333333333334,-0.027509853456869515
16,34,4,QUARTER_PRIOR_A0,0.14095458710082515,0.1432273012463835,75,0.14229084969248532,0.09891321611669789,0.058314113622582715,0.1397639759467295,0.0814498623241468,0.9466666666666667,0.025945812478802534,1.0,0.08028892596957814
