left,right,same_family,same_source_location,same_direction_base,same_sign,dose_left,dose_right,same_dose,dose_difference,dose_mean,delta_norm_difference,delta_norm_mean,semantic_movement_difference,semantic_movement_mean,behavioral_D,M0_FLAT,M1_WHITENED,M2_FINITE_SECANT
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_INDEPENDENT_VERIFICATION_EXECUTION_BOUNDARY_MINUS,False,True,False,False,D_LOW,D_VERY_HIGH,False,0.75,0.625,40.28391616805152,31.142708444079872,0.16666666666666666,0.08333333333333333,0.0,1.6820761974871385,1.6852197399996856,0.11403476518069171
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_INDEPENDENT_VERIFICATION_EXECUTION_BOUNDARY_PLUS,False,True,False,True,D_LOW,D_LOW,True,0.0,0.25,1.8204162719722987,11.910958496040259,0.0,0.0,0.008333333333333333,1.0819517853616256,1.0770489440667923,0.022810941411057606
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_INDEPENDENT_VERIFICATION_PROMPT_BOUNDARY_MINUS,False,False,False,False,D_LOW,D_VERY_HIGH,False,0.75,0.625,43.88968692796395,32.94559382403609,0.25,0.125,0.008333333333333333,1.467073136904726,1.4728370787334444,0.11410787233298533
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_INDEPENDENT_VERIFICATION_PROMPT_BOUNDARY_PLUS,False,False,False,True,D_LOW,D_VERY_HIGH,False,0.75,0.625,43.88968692796395,32.94559382403609,0.16666666666666666,0.08333333333333333,0.016666666666666666,1.3592999709308196,1.3530524526077818,0.08599689038879056
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_INVARIANT_CHECKING_EXECUTION_BOUNDARY_MINUS,False,True,False,False,D_LOW,D_LOW,True,0.0,0.25,0.348708817261306,10.826395951423457,0.0,0.0,-0.008333333333333333,1.7258087869984993,1.7264832584250234,0.031033109596050268
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_INVARIANT_CHECKING_EXECUTION_BOUNDARY_PLUS,False,True,False,True,D_LOW,D_HIGH,False,0.5,0.5,20.955374268324302,21.47843749421626,0.16666666666666666,0.08333333333333333,0.016666666666666666,1.0107344016697803,1.0095818730435455,0.04226523068332929
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_INVARIANT_CHECKING_PROMPT_BOUNDARY_MINUS,False,False,False,False,D_LOW,D_LOW,True,0.0,0.25,0.859110814022749,11.430305767065484,0.0,0.0,0.0,1.4066900844946646,1.3929953526111174,0.02809226754142766
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_INVARIANT_CHECKING_PROMPT_BOUNDARY_PLUS,False,False,False,True,D_LOW,D_MEDIUM,False,0.25,0.375,12.718971988099607,17.36023635410391,0.16666666666666666,0.08333333333333333,0.025,1.4216972273252817,1.4351180953509814,0.0457176785768175
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_TYPE_REPRESENTATION_DISCIPLINE_EXECUTION_BOUNDARY_MINUS,False,True,False,False,D_LOW,D_LOW,True,0.0,0.25,1.9335974829340365,10.033951618587091,0.0,0.0,0.016666666666666666,1.6624530555240353,1.6618569671128613,0.0330707351291901
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_TYPE_REPRESENTATION_DISCIPLINE_EXECUTION_BOUNDARY_PLUS,False,True,False,True,D_LOW,D_LOW,True,0.0,0.25,1.9335974829340365,10.033951618587091,0.0,0.0,0.008333333333333333,1.111867725126869,1.1127584737302347,0.02166620751994608
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_TYPE_REPRESENTATION_DISCIPLINE_PROMPT_BOUNDARY_MINUS,False,False,False,False,D_LOW,D_LOW,True,0.0,0.25,2.9389032974526224,9.531298711327798,0.0,0.0,-0.008333333333333333,1.461823160157006,1.4440496292418392,0.025905484657235002
MEAN_COUNTERFACTUAL_CHECKING_EXECUTION_BOUNDARY_PLUS,MEAN_TYPE_REPRESENTATION_DISCIPLINE_PROMPT_BOUNDARY_PLUS,False,False,False,True,D_LOW,D_HIGH,False,0.5,0.5,13.184790827750351,17.593145773929287,0.16666666666666666,0.08333333333333333,0.025,1.3649443389488762,1.3837343199785523,0.04242216595438162
MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_MINUS,MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_PLUS,True,True,True,False,D_LOW,D_VERY_HIGH,False,0.75,0.625,23.4568817605471,19.547401467122583,0.16666666666666666,0.08333333333333333,-0.008333333333333333,2.0,2.0,0.0669144794677029
MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_MINUS,MEAN_DECOMPOSE_THEN_SOLVE_EXECUTION_BOUNDARY_MINUS,False,False,False,True,D_LOW,D_VERY_HIGH,False,0.75,0.625,24.95182983273615,20.294875503217106,0.16666666666666666,0.08333333333333333,0.008333333333333333,1.4895614570060505,1.4781765261460236,0.06450552769581744
MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_MINUS,MEAN_DECOMPOSE_THEN_SOLVE_EXECUTION_BOUNDARY_PLUS,False,False,False,False,D_LOW,D_LOW,True,0.0,0.25,0.37373701804726256,8.005829095872665,0.0,0.0,0.016666666666666666,1.3346185469271779,1.3472171901927597,0.023936762332306048
MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_MINUS,MEAN_DECOMPOSE_THEN_SOLVE_PROMPT_BOUNDARY_MINUS,False,True,False,True,D_LOW,D_MEDIUM,False,0.25,0.375,20.8553053959767,18.246613284837384,0.16666666666666666,0.08333333333333333,0.025,1.1087446026444223,1.176367089720341,0.05072080808616801
MEAN_COUNTERFACTUAL_CHECKING_PROMPT_BOUNDARY_MINUS,MEAN_DECOMPOSE_THEN_SOLVE_PROMPT_BOUNDARY_PLUS,False,True,False,False,D_LOW,D_HIGH,False,0.5,0.5,35.19243838738957,25.415179780543816,0.25,0.125,0.025,1.6645375952819035,1.617454936071758,0.08674046039270687
