statistic,bin_left,bin_right,count,density
median_row_association,0.6445565406492065,0.6471602247412569,923,7.089953829791626
median_row_association,0.6471602247412569,0.6497639088333071,856,6.57529845969869
median_row_association,0.6497639088333071,0.6523675929253575,715,5.492217755472386
median_row_association,0.6523675929253575,0.6549712770174078,695,5.338589286788071
median_row_association,0.6549712770174078,0.6575749611094581,615,4.724075412049675
median_row_association,0.6575749611094581,0.6601786452015084,550,4.224782888825093
median_row_association,0.6601786452015084,0.6627823292935587,489,3.7562160593370586
median_row_association,0.6627823292935587,0.6653860133856091,429,3.2953306532834317
median_row_association,0.6653860133856091,0.6679896974776593,331,2.542551156729283
median_row_association,0.6679896974776593,0.6705933815697097,287,2.2045685256231815
median_row_association,0.6705933815697097,0.6731970656617601,310,2.3812412646104053
median_row_association,0.6731970656617601,0.6758007497538103,192,1.4748332993716686
median_row_association,0.6758007497538103,0.6784044338458607,196,1.5055589931085143
median_row_association,0.6784044338458607,0.681008117937911,142,1.0907621276602502
median_row_association,0.681008117937911,0.6836118020299613,122,0.9371336589757477
median_row_association,0.6836118020299613,0.6862154861220117,111,0.8526380011992096
median_row_association,0.6862154861220117,0.688819170214062,71,0.5453810638301251
median_row_association,0.688819170214062,0.6914228543061123,52,0.3994340185798269
median_row_association,0.6914228543061123,0.6940265383981626,50,0.3840711717113557
median_row_association,0.6940265383981626,0.696630222490213,45,0.34566405454022014
median_row_association,0.696630222490213,0.6992339065822633,31,0.23812412646105066
median_row_association,0.6992339065822633,0.7018375906743135,18,0.13826562181609395
median_row_association,0.7018375906743135,0.704441274766364,8,0.061451387473814297
median_row_association,0.704441274766364,0.7070449588584142,8,0.06145138747381953
median_row_association,0.7070449588584142,0.7096486429504645,9,0.06913281090804697
median_row_association,0.7096486429504645,0.7122523270425148,6,0.04608854060536268
median_row_association,0.7122523270425148,0.7148560111345652,4,0.030725693736908456
median_row_association,0.7148560111345652,0.7174596952266155,10,0.07681423434227441
median_row_association,0.7174596952266155,0.7200633793186658,3,0.02304427030268134
median_row_association,0.7200633793186658,0.7226670634107162,0,0.0
median_row_association,0.7226670634107162,0.7252707475027664,1,0.007681423434227441
median_row_association,0.7252707475027664,0.7278744315948168,1,0.007681423434227114
