fixture_id,comparison,alpha,output_index,top1_agreement,vocabulary_js,target_logp_abs_difference,logit_cosine,max_abs_logit_difference
G12_1_FIXTURE_02,E1_vs_E2,0,0,1,0.00011928671693938126,0.007120182308366196,0.9999877073235556,0.140625
G12_1_FIXTURE_02,E1_vs_E2,0,1,1,0.00018317080466401838,0.0018760750532624826,0.99997689067373,0.1875
G12_1_FIXTURE_02,E1_vs_E2,0,2,1,0.0003167701450356591,0.041211853175790125,0.9999816408714098,0.25
G12_1_FIXTURE_02,E1_vs_E2,0,3,1,0.00047060245082355154,0.05142404244797305,0.9999324703118274,0.1875
G12_1_FIXTURE_02,E1_vs_E2,0,4,1,0.00019328873221694605,0.06023140551787698,0.9999846087948981,0.1875
G12_1_FIXTURE_02,E1_vs_E2,0,5,1,0.00010823974551972823,0.005911077651969521,0.9999812528348888,0.138671875
G12_1_FIXTURE_02,E1_vs_E2,0,6,1,0.0003281303575021657,0.10691388969123139,0.9999746845751362,0.125
G12_1_FIXTURE_02,E1_vs_E2,0,7,1,0.00013416717196594396,0.03024852069025208,0.9999503777461616,0.15625
G12_1_FIXTURE_02,E1_vs_E2,0,8,1,0.00012788443965337868,0.011407894106442384,0.9999812232793188,0.1875
G12_1_FIXTURE_02,E0_NOHOOK_vs_ALPHA0,0,0,1,0.0,0.0,0.9999999999999998,0.0
G12_1_FIXTURE_02,E0_NOHOOK_vs_ALPHA0,0,1,1,0.0,0.0,1.0000000000000002,0.0
G12_1_FIXTURE_02,E0_NOHOOK_vs_ALPHA0,0,2,1,0.0,0.0,1.0,0.0
G12_1_FIXTURE_02,E0_NOHOOK_vs_ALPHA0,0,3,1,0.0,0.0,0.9999999999999999,0.0
G12_1_FIXTURE_02,E0_NOHOOK_vs_ALPHA0,0,4,1,0.0,0.0,1.0,0.0
G12_1_FIXTURE_02,E0_NOHOOK_vs_ALPHA0,0,5,1,0.0,0.0,0.9999999999999999,0.0
G12_1_FIXTURE_02,E0_NOHOOK_vs_ALPHA0,0,6,1,0.0,0.0,1.0000000000000002,0.0
G12_1_FIXTURE_02,E0_NOHOOK_vs_ALPHA0,0,7,1,0.0,0.0,0.9999999999999998,0.0
G12_1_FIXTURE_02,E0_NOHOOK_vs_ALPHA0,0,8,1,0.0,0.0,1.0,0.0
G12_1_FIXTURE_02,E1_NOHOOK_vs_ALPHA0,0,0,1,0.0,0.0,0.9999999999999998,0.0
G12_1_FIXTURE_02,E1_NOHOOK_vs_ALPHA0,0,1,1,0.0,0.0,1.0000000000000002,0.0
G12_1_FIXTURE_02,E1_NOHOOK_vs_ALPHA0,0,2,1,0.0,0.0,0.9999999999999999,0.0
G12_1_FIXTURE_02,E1_NOHOOK_vs_ALPHA0,0,3,1,0.0,0.0,0.9999999999999999,0.0
G12_1_FIXTURE_02,E1_NOHOOK_vs_ALPHA0,0,4,1,0.0,0.0,1.0,0.0
G12_1_FIXTURE_02,E1_NOHOOK_vs_ALPHA0,0,5,1,0.0,0.0,1.0,0.0
G12_1_FIXTURE_02,E1_NOHOOK_vs_ALPHA0,0,6,1,0.0,0.0,1.0,0.0
G12_1_FIXTURE_02,E1_NOHOOK_vs_ALPHA0,0,7,1,0.0,0.0,0.9999999999999998,0.0
G12_1_FIXTURE_02,E1_NOHOOK_vs_ALPHA0,0,8,1,0.0,0.0,1.0,0.0
G12_1_FIXTURE_02,E2_NOHOOK_vs_ALPHA0,0,0,1,0.0,0.0,1.0000000000000002,0.0
G12_1_FIXTURE_02,E2_NOHOOK_vs_ALPHA0,0,1,1,0.0,0.0,1.0,0.0
G12_1_FIXTURE_02,E2_NOHOOK_vs_ALPHA0,0,2,1,0.0,0.0,0.9999999999999999,0.0
G12_1_FIXTURE_02,E2_NOHOOK_vs_ALPHA0,0,3,1,0.0,0.0,1.0,0.0
G12_1_FIXTURE_02,E2_NOHOOK_vs_ALPHA0,0,4,1,0.0,0.0,1.0000000000000002,0.0
G12_1_FIXTURE_02,E2_NOHOOK_vs_ALPHA0,0,5,1,0.0,0.0,0.9999999999999999,0.0
G12_1_FIXTURE_02,E2_NOHOOK_vs_ALPHA0,0,6,1,0.0,0.0,1.0000000000000002,0.0
G12_1_FIXTURE_02,E2_NOHOOK_vs_ALPHA0,0,7,1,0.0,0.0,1.0,0.0
G12_1_FIXTURE_02,E2_NOHOOK_vs_ALPHA0,0,8,1,0.0,0.0,1.0000000000000002,0.0
G12_1_FIXTURE_02,E0_vs_E1,0.01,0,1,0.0001638780634651529,0.038350889856582526,0.9999872002144151,0.1875
G12_1_FIXTURE_02,E0_vs_E1,0.01,1,1,0.0001512448905351532,0.08154775787422253,0.9999765553742012,0.1875
G12_1_FIXTURE_02,E0_vs_E1,0.01,2,1,0.00013484482780931316,0.022924000382568366,0.9999878649780308,0.25
G12_1_FIXTURE_02,E0_vs_E1,0.01,3,1,0.00035809791878975124,0.07848719417924599,0.9999280265068454,0.1875
G12_1_FIXTURE_02,E0_vs_E1,0.01,4,1,0.00021909469807020188,0.0555597085808035,0.9999779993061492,0.125
G12_1_FIXTURE_02,E0_vs_E1,0.01,5,1,0.00020424338496234044,0.0042928829319848205,0.9999757482958691,0.1875
G12_1_FIXTURE_02,E0_vs_E1,0.01,6,1,0.0002840290377994981,0.10358355445162104,0.9999774357052784,0.125
G12_1_FIXTURE_02,E0_vs_E1,0.01,7,0,0.00019981976137996565,0.04047585052965985,0.9999325566183761,0.140625
G12_1_FIXTURE_02,E0_vs_E1,0.01,8,1,0.0001397679141699212,0.02281240955184849,0.9999829203145442,0.15625
G12_1_FIXTURE_02,E1_vs_E2,0.01,0,1,0.00018083786324124876,0.02627235718716392,0.9999875842354243,0.1328125
G12_1_FIXTURE_02,E1_vs_E2,0.01,1,1,0.0001647422122109952,0.008893398104532935,0.9999803545011582,0.125
G12_1_FIXTURE_02,E1_vs_E2,0.01,2,1,0.00025396401379058697,0.0002374809416458845,0.9999826246276722,0.3125
G12_1_FIXTURE_02,E1_vs_E2,0.01,3,1,0.00016534225018105422,0.022125138412100398,0.9999541046784609,0.1875
G12_1_FIXTURE_02,E1_vs_E2,0.01,4,1,0.00019597262431729978,0.08304103802937313,0.9999760486958414,0.15625
G12_1_FIXTURE_02,E1_vs_E2,0.01,5,1,0.00016531035183338328,0.01724902426464503,0.999983373754663,0.125
G12_1_FIXTURE_02,E1_vs_E2,0.01,6,1,0.00032745665884292266,0.08165594953373301,0.9999787405729207,0.125
G12_1_FIXTURE_02,E1_vs_E2,0.01,7,0,0.0001680559459648497,0.04161314605392441,0.9999430529445285,0.142578125
G12_1_FIXTURE_02,E1_vs_E2,0.01,8,1,9.216249615738047e-05,0.0021418592003907833,0.9999856482896889,0.140625
G12_1_FIXTURE_02,E0_vs_E1,0.1,0,1,0.000229808189912561,0.005122002627603095,0.999985259578902,0.15625
G12_1_FIXTURE_02,E0_vs_E1,0.1,1,1,0.00014487576835738015,0.03465325258554941,0.9999717631554514,0.15625
G12_1_FIXTURE_02,E0_vs_E1,0.1,2,1,0.00026115498641706396,0.0318283374887649,0.9999891523947152,0.15234375
