fixture_id,dtype,layer,component,token_index,max_abs_difference,rms_difference
G12_1_FIXTURE_00,BF16,17,attention,6,0.0390625,0.0064690843090956995
G12_1_FIXTURE_00,BF16,17,mlp,0,0.0,0.0
G12_1_FIXTURE_00,BF16,17,mlp,1,0.0,0.0
G12_1_FIXTURE_00,BF16,17,mlp,2,0.0,0.0
G12_1_FIXTURE_00,BF16,17,mlp,3,0.0,0.0
G12_1_FIXTURE_00,BF16,17,mlp,4,0.0,0.0
G12_1_FIXTURE_00,BF16,17,mlp,5,0.0,0.0
G12_1_FIXTURE_00,BF16,17,mlp,6,0.0625,0.008468678981546887
G12_1_FIXTURE_00,BF16,17,residual,0,0.0,0.0
G12_1_FIXTURE_00,BF16,17,residual,1,0.0,0.0
G12_1_FIXTURE_00,BF16,17,residual,2,0.0,0.0
G12_1_FIXTURE_00,BF16,17,residual,3,0.0,0.0
G12_1_FIXTURE_00,BF16,17,residual,4,0.0,0.0
G12_1_FIXTURE_00,BF16,17,residual,5,0.0,0.0
G12_1_FIXTURE_00,BF16,17,residual,6,0.5,0.018548122793831685
G12_1_FIXTURE_00,BF16,18,attention,0,0.0,0.0
G12_1_FIXTURE_00,BF16,18,attention,1,0.0,0.0
G12_1_FIXTURE_00,BF16,18,attention,2,0.0,0.0
G12_1_FIXTURE_00,BF16,18,attention,3,0.0,0.0
G12_1_FIXTURE_00,BF16,18,attention,4,0.0,0.0
G12_1_FIXTURE_00,BF16,18,attention,5,0.0,0.0
G12_1_FIXTURE_00,BF16,18,attention,6,0.0703125,0.004252055179913117
G12_1_FIXTURE_00,BF16,18,mlp,0,0.0,0.0
G12_1_FIXTURE_00,BF16,18,mlp,1,0.0,0.0
G12_1_FIXTURE_00,BF16,18,mlp,2,0.0,0.0
G12_1_FIXTURE_00,BF16,18,mlp,3,0.0,0.0
G12_1_FIXTURE_00,BF16,18,mlp,4,0.0,0.0
G12_1_FIXTURE_00,BF16,18,mlp,5,0.0,0.0
G12_1_FIXTURE_00,BF16,18,mlp,6,0.1875,0.010120005772748764
G12_1_FIXTURE_00,BF16,18,residual,0,0.0,0.0
G12_1_FIXTURE_00,BF16,18,residual,1,0.0,0.0
G12_1_FIXTURE_00,BF16,18,residual,2,0.0,0.0
G12_1_FIXTURE_00,BF16,18,residual,3,0.0,0.0
G12_1_FIXTURE_00,BF16,18,residual,4,0.0,0.0
G12_1_FIXTURE_00,BF16,18,residual,5,0.0,0.0
G12_1_FIXTURE_00,BF16,18,residual,6,0.625,0.0217065449358093
G12_1_FIXTURE_00,BF16,19,attention,0,0.0,0.0
G12_1_FIXTURE_00,BF16,19,attention,1,0.0,0.0
G12_1_FIXTURE_00,BF16,19,attention,2,0.0,0.0
G12_1_FIXTURE_00,BF16,19,attention,3,0.0,0.0
G12_1_FIXTURE_00,BF16,19,attention,4,0.0,0.0
G12_1_FIXTURE_00,BF16,19,attention,5,0.0,0.0
G12_1_FIXTURE_00,BF16,19,attention,6,0.03125,0.0048054438397469755
G12_1_FIXTURE_00,BF16,19,mlp,0,0.0,0.0
G12_1_FIXTURE_00,BF16,19,mlp,1,0.0,0.0
G12_1_FIXTURE_00,BF16,19,mlp,2,0.0,0.0
G12_1_FIXTURE_00,BF16,19,mlp,3,0.0,0.0
G12_1_FIXTURE_00,BF16,19,mlp,4,0.0,0.0
G12_1_FIXTURE_00,BF16,19,mlp,5,0.0,0.0
G12_1_FIXTURE_00,BF16,19,mlp,6,0.078125,0.009238275218233482
G12_1_FIXTURE_00,BF16,19,residual,0,0.0,0.0
G12_1_FIXTURE_00,BF16,19,residual,1,0.0,0.0
G12_1_FIXTURE_00,BF16,19,residual,2,0.0,0.0
G12_1_FIXTURE_00,BF16,19,residual,3,0.0,0.0
G12_1_FIXTURE_00,BF16,19,residual,4,0.0,0.0
