route,S,N,R,K_reference,K_fresh,controller_split_role,subspace_sd,generic_random_mean,scenario,learned_advantage,measurement_sd,rejection_rate,wilson_low,wilson_high,mean_contrast,contrast_bias,contrast_sd,random_mean_interval_width_approx,leave_one_subspace_rejection_stability,minimum_attainable_p,minimum_attainable_p_after_one_deletion
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.35,NULL,0.0,0.06,0.04935,0.046433745719324244,0.05243933637804286,-0.00036247335854087547,-0.00036247335854087547,0.10848296170117593,0.07307041587677517,0.02505,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.35,MODEST_0_05,0.05,0.06,0.11355,0.10922703539087608,0.11802138927688718,0.04836392830146986,-0.0016360716985301393,0.10892940230523321,0.07339213788824211,0.06165,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.35,MODEST_0_10,0.1,0.06,0.22555,0.21981071863935847,0.23139468995183732,0.10047836185531078,0.00047836185531077713,0.10822538704180112,0.07313763160895026,0.13955,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.35,TWENTY_FIVE_PERCENT_OF_OBSERVED,0.1812934780863693,0.06,0.48635,0.4794263495490658,0.49327889303526584,0.18203899517967165,0.0007455170933023392,0.10744816282865843,0.07316743602262514,0.34675,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.35,FIFTY_PERCENT_OF_OBSERVED,0.3625869561727386,0.06,0.94,0.9366233964342431,0.9432076118363847,0.36250782428739287,-7.913188534575122e-05,0.10760009774323058,0.07323097407054596,0.8677,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.55,NULL,0.0,0.06,0.04705,0.044201381985967424,0.05007258347725776,-0.0005225797392656224,-0.0005225797392656224,0.10777948140176619,0.07333117896226364,0.02415,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.55,MODEST_0_05,0.05,0.06,0.11025,0.1059839513463622,0.11466574075937135,0.049294462397260035,-0.0007055376027399682,0.10791912692518245,0.07329757033261745,0.06005,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.55,MODEST_0_10,0.1,0.06,0.21855,0.21287692261610047,0.22433117447988077,0.09822710644933516,-0.0017728935506648447,0.10732364253125844,0.07322930985513086,0.13115,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.55,TWENTY_FIVE_PERCENT_OF_OBSERVED,0.1812934780863693,0.06,0.4912,0.48427390920412217,0.4981294706304653,0.18137228014716578,7.88020607964679e-05,0.10701690493571023,0.0731464672907247,0.34845,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.55,FIFTY_PERCENT_OF_OBSERVED,0.3625869561727386,0.06,0.94065,0.9372900062849027,0.9438407523388522,0.34807065544311216,-0.014516300729626452,0.08941767174338099,0.07315328262741813,0.87275,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.15,NULL,0.0,0.06,0.0502,0.047259212047703,0.05331354358836872,-0.0014747076566480903,-0.0014747076566480903,0.206483494208016,0.131205184500307,0.02485,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.15,MODEST_0_05,0.05,0.06,0.0811,0.07739659217541336,0.0849642956323911,0.050700109281912126,0.000700109281912123,0.20671931723093165,0.13096299675674256,0.043,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.15,MODEST_0_10,0.1,0.06,0.1189,0.11448725259043231,0.12345911729153065,0.10024138090736949,0.00024138090736948448,0.2037548314027696,0.13095684870163382,0.0662,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.15,TWENTY_FIVE_PERCENT_OF_OBSERVED,0.1812934780863693,0.06,0.21285,0.20723260419260311,0.21857768211441778,0.18164039811621907,0.0003469200298497621,0.20603303339104917,0.13119758006069526,0.12505,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.15,FIFTY_PERCENT_OF_OBSERVED,0.3625869561727386,0.06,0.51815,0.5112222264827656,0.5250708026083978,0.3612255158235497,-0.0013614403491888916,0.2056826962666419,0.13112216830524728,0.37165,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.35,NULL,0.0,0.06,0.051,0.048036340963523244,0.054136107414858706,-8.43504090906988e-06,-8.43504090906988e-06,0.2058309978538896,0.1308730710101252,0.02515,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.35,MODEST_0_05,0.05,0.06,0.07975,0.07607570286574696,0.08358570343940898,0.04867768985817744,-0.0013223101418225608,0.20574454795835778,0.13091259534764457,0.0435,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.35,MODEST_0_10,0.1,0.06,0.12005,0.11561834112145224,0.12462758707758166,0.10119312400832374,0.0011931240083237343,0.20513322231644632,0.13092688433786673,0.067,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.35,TWENTY_FIVE_PERCENT_OF_OBSERVED,0.1812934780863693,0.06,0.2151,0.2094604312403653,0.2208489909044031,0.18034833605055706,-0.000945142035812252,0.20595020931218047,0.13092181090519062,0.13085,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.35,FIFTY_PERCENT_OF_OBSERVED,0.3625869561727386,0.06,0.5195,0.5125726719516559,0.5264198386421559,0.35585846542696,-0.006728490745778637,0.19227056410945345,0.13089918507972706,0.3729,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.55,NULL,0.0,0.06,0.0481,0.04522027326179008,0.05115328892571727,0.001342201975920457,0.001342201975920457,0.20210298524667214,0.12926468228617582,0.02205,0.025,0.02564102564102564
ROUTE_2,39,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.55,MODEST_0_05,0.05,0.06,0.0774,0.07377713839229547,0.08118517048232415,0.05074611124066729,0.0007461112406672854,0.20294059535277453,0.12929258661959517,0.03735,0.025,0.02564102564102564
