scenario,nominal_rho,N,repetitions,achieved_true_rho_mean,observed_rho_mean,observed_rho_q025,observed_rho_q975,observed_interval_width,estimation_bias,estimation_rmse,median_item_bootstrap_width,bootstrap_lower_positive_rate,global_qap_rejection_rate,m2_maxT_rejection_rate,family_3of4_rate,family_4of4_rate,both_shells_positive_rate,lodo_8of8_rate,lodo_7of8_rate,rho_gate_rate,recommended_full_gate_rate
ONE_WEAK_FAMILY,0.2,200,240,0.2047485888990824,0.13237120695840415,-0.11094245882170023,0.3663676863952269,0.4773101452169271,-0.07237738194067823,0.14274048173152817,0.33629807692307695,0.3416666666666667,0.0625,0.05,0.7041666666666667,0.35,0.6083333333333333,0.49166666666666664,0.6666666666666666,0.15416666666666667,0.05
ONE_WEAK_FAMILY,0.2,300,240,0.2047485888990824,0.14667878552317712,-0.0885323696542159,0.37089306337519434,0.45942543302941025,-0.058069803375905255,0.12796508351651578,0.3098666958041958,0.425,0.08333333333333333,0.0625,0.75,0.37083333333333335,0.5791666666666667,0.5208333333333334,0.6916666666666667,0.17916666666666667,0.0625
ONE_WEAK_FAMILY,0.2,400,240,0.2047485888990824,0.15222442012149895,-0.043240977903299845,0.34291552221492316,0.386156500118223,-0.0525241687775834,0.11762002289336823,0.2943291083916084,0.49166666666666664,0.075,0.05416666666666667,0.7916666666666666,0.4041666666666667,0.6291666666666667,0.5541666666666667,0.7166666666666667,0.14583333333333334,0.05416666666666667
ONE_WEAK_FAMILY,0.25,200,240,0.2518757284382284,0.16672112378586146,-0.10842423665715108,0.3619568377977858,0.4703810744549369,-0.085154604652367,0.14586936852979987,0.33420017482517483,0.45416666666666666,0.10833333333333334,0.05416666666666667,0.7916666666666666,0.42083333333333334,0.6458333333333334,0.5583333333333333,0.7583333333333333,0.23333333333333334,0.05416666666666667
ONE_WEAK_FAMILY,0.25,300,240,0.2518757284382284,0.18207465649810825,-0.03206802888416018,0.36403835074664986,0.39610637963081,-0.06980107194012021,0.12501185855607624,0.3098011363636363,0.5416666666666666,0.12083333333333333,0.075,0.8291666666666667,0.44583333333333336,0.6875,0.6125,0.8,0.24583333333333332,0.07083333333333333
ONE_WEAK_FAMILY,0.25,400,240,0.2518757284382284,0.19334917083100875,-0.00592804184440305,0.3933144120870121,0.39924245393141516,-0.05852655760721968,0.11608340488017678,0.2887674825174825,0.625,0.12083333333333333,0.06666666666666667,0.8541666666666666,0.4708333333333333,0.7125,0.6166666666666667,0.8458333333333333,0.2875,0.06666666666666667
ONE_WEAK_FAMILY,0.3,200,240,0.3012529137529138,0.19015498102586204,-0.11390910355052478,0.3821275826180261,0.4960366861685509,-0.11109793272705172,0.17194197997870125,0.33226617132867137,0.5166666666666667,0.15,0.10833333333333334,0.8166666666666667,0.5416666666666666,0.6916666666666667,0.6583333333333333,0.7708333333333334,0.3541666666666667,0.10416666666666667
ONE_WEAK_FAMILY,0.3,300,240,0.3012529137529138,0.20755144091077357,-0.07541712452675768,0.39293435736028753,0.46835148188704523,-0.09370147284214018,0.15719639912657102,0.31335227272727273,0.5541666666666667,0.22083333333333333,0.15833333333333333,0.8333333333333334,0.5291666666666667,0.7416666666666667,0.6958333333333333,0.8291666666666667,0.3875,0.15416666666666667
ONE_WEAK_FAMILY,0.3,400,240,0.3012529137529138,0.21497587279778163,-0.031192498859707745,0.401279964351501,0.43247246321120875,-0.08627704095513211,0.14849598171032044,0.29923513986013983,0.6416666666666667,0.20416666666666666,0.15416666666666667,0.8541666666666666,0.5583333333333333,0.7416666666666667,0.6958333333333333,0.8458333333333333,0.45416666666666666,0.15416666666666667
ONE_WEAK_FAMILY,0.4,200,240,0.40035693473193473,0.2724305043504805,-0.09247902729529194,0.4868456696724988,0.5793246969677908,-0.12792643038145418,0.18905406230763663,0.3231424825174825,0.6958333333333333,0.425,0.30416666666666664,0.8875,0.6666666666666666,0.8625,0.7958333333333333,0.8958333333333334,0.6166666666666667,0.30416666666666664
ONE_WEAK_FAMILY,0.4,300,240,0.40035693473193473,0.2931598300966598,-0.00820043649281174,0.4782590104340041,0.4864594469268158,-0.10719710463527495,0.1675703129969839,0.301791958041958,0.7916666666666666,0.44583333333333336,0.35,0.9125,0.6958333333333333,0.8666666666666667,0.8166666666666667,0.9041666666666667,0.6958333333333333,0.3458333333333333
ONE_WEAK_FAMILY,0.4,400,240,0.40035693473193473,0.3027827804977026,0.012868389282242357,0.48531534874983256,0.4724469594675902,-0.09757415423423217,0.1529256200916685,0.28988199300699286,0.825,0.4708333333333333,0.36666666666666664,0.9375,0.6875,0.8916666666666667,0.8583333333333333,0.9458333333333333,0.7083333333333334,0.35833333333333334
